trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
935,True,"{'a': 0, 'e': 0}",25,0,-78.74276406489051,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
936,True,"{'a': 0, 'e': 0}",30,0,-78.41141130576571,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
937,True,"{'a': 0, 'e': 0}",30,0,0.1871785624921969,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
938,True,"{'a': 0, 'e': 0}",20,0,5.773698422422801,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
939,True,"{'a': 0, 'e': 0}",20,0,18.520083107178024,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
940,True,"{'a': 0, 'e': 0}",30,0,26.388754641270506,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
941,True,"{'a': 0, 'e': 0}",20,0,-57.285614952867675,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
942,True,"{'a': 0, 'e': 0}",30,0,-31.856133905338634,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
943,True,"{'a': 0, 'e': 0}",20,0,-57.04989778785661,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
944,True,"{'a': 0, 'e': 0}",20,0,-56.30983770077901,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
945,True,"{'a': 0, 'e': 0}",25,0,16.456764614254894,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
946,True,"{'a': 0, 'e': 0}",20,0,-40.60424107688719,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
947,True,"{'a': 0, 'e': 0}",25,10,7.840370132225654,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
948,True,"{'a': 0, 'e': 0}",20,0,-10.321699804045648,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
949,True,"{'a': 0, 'e': 0}",20,3,23.55366157933107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,True,"{'a': 0, 'e': 0}",25,0,-5.639817464125992,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
951,True,"{'a': 0, 'e': 0}",20,0,-15.540178548563508,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
952,True,"{'a': 0, 'e': 0}",20,14,12.609562460904222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,True,"{'a': 0, 'e': 0}",20,0,14.602449971673469,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
954,True,"{'a': 0, 'e': 0}",20,0,-41.017451564719025,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
955,True,"{'a': 0, 'e': 0}",25,0,13.975868907253567,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
956,True,"{'a': 0, 'e': 0}",20,0,-16.11675808256652,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
957,True,"{'a': 0, 'e': 0}",20,0,17.510736893178972,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
958,True,"{'a': 0, 'e': 0}",25,0,-3.7033690391360743,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
